Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.2138E-3,67.912487556,0.745750324,0.007980846,0.659090909,0
2.21564E-3,68.134051429,0.7459079,0.007881085,0.659090909,0
2.24886E-3,68.35893738,0.748718227,0.007781325,0.659090909,0
2.25711E-3,68.58464884,0.749406953,0.007681564,0.659090909,0
2.28946E-3,68.81359465,0.752069403,0.007581804,0.659090909,0
2.30517E-3,69.044111857,0.753342628,0.007482043,0.659090909,0
2.30914E-3,69.275025983,0.753662166,0.007382283,0.666666667,0
2.31483E-3,69.506509421,0.754119045,0.007282522,0.666666667,0
2.36711E-3,69.977596064,0.758236118,0.007083001,0.674242424,0
2.4128E-3,70.218875806,0.761723422,0.00698324,0.674242424,0
2.41444E-3,70.460319721,0.761846855,0.00688348,0.674242424,0
2.52728E-3,70.713047983,0.770035074,0.006783719,0.674242424,0
2.56922E-3,70.96996963,0.772936218,0.006683958,0.674242424,0
2.62043E-3,71.232012288,0.776381357,0.006584198,0.681818182,0
2.67726E-3,71.499738755,0.780084734,0.006484437,0.681818182,0
2.75132E-3,71.774871227,0.784730077,0.006384677,0.681818182,0
2.75651E-3,72.050521735,0.785047677,0.006284916,0.681818182,0
2.77093E-3,72.327614663,0.785927086,0.006185156,0.689393939,0
2.84096E-3,72.61171114,0.790096685,0.006085395,0.689393939,0
2.88115E-3,72.899825659,0.792416333,0.005985634,0.689393939,0
2.92862E-3,73.192687434,0.795091742,0.005885874,0.696969697,0
3.09136E-3,73.501823895,0.80376235,0.005786113,0.704545455,0
3.20693E-3,73.82251709,0.809486849,0.005686353,0.712121212,0
3.20981E-3,74.143498519,0.809625357,0.005586592,0.712121212,0
3.2454E-3,74.468038086,0.811318742,0.005486832,0.712121212,0
3.24985E-3,74.793023094,0.811528617,0.005387071,0.712121212,0
3.25568E-3,75.118590973,0.811802539,0.00528731,0.71969697,0
3.3283E-3,75.451420513,0.815149611,0.00518755,0.71969697,0
3.3712E-3,75.788540594,0.817071854,0.005087789,0.71969697,0
3.4004E-3,76.128580325,0.818357213,0.004988029,0.71969697,0
3.44304E-3,76.472884172,0.82020234,0.004888268,0.727272727,0
3.45619E-3,76.81850298,0.820763798,0.004788508,0.734848485,0
3.5222E-3,77.170723398,0.823530363,0.004688747,0.742424242,0
3.52697E-3,77.523419944,0.823726597,0.004588986,0.75,0
